aanbevelen	to recommend
kwart voor zeven	quarter to seven
kwijt	lost
lang	tall
langs	along, alongside (pred., int the past)
lastig	difficult (2)
lekker smaken	to taste good
Lekker weer, hè?	Nice weather, isn’t it?
leren	to learn
leuk	nice
leuk je te ontmoeten lief	nice to meet you (long)
lief	lovely, sweet
liggen	to lie
lijken	to seem
lijst	list
lopend te voet	to walk by foot
meenemen	to take, bring smth with you
men	one, you
merken	to notice
minstens	at least
moe	tired
nat	wet
nodig	necessary
nogal	rather (2)
noteren	to write down
onder	below
onderstrepen	to underline
ondertussen	meantime
onmiddellijk	immediate
ontstaan	to arise
op bezoek gaan	to go visit
opeten	to finish eating something
opnemen de telefoon	to answer the phone
opruimen	to clean up
overigens	moreover
overkomen	to happen to
overslaan	to skip
overtuigend	convincing
pakken	to pack, to get smth
per	by, per
pinnen	to pay by debit card
plakken	to paste
Polen	Poland
raar	strange
rangtelwoorden	ordinal numbers
recht	straight
roepen	to call (2)
roeren	to stir
roze	pink
schieten	to shoot
schuiven	to push, to pull
slordig	messy
sluiten	to close
smeren	to spread
snappen	to understand (2)
Spanje	Spain
spannend	exciting
spoed	urgent
stampen	to mash
stappen	to go out (and drink)
starten	to start
stijgen	to rise
succes	good luck
tegelijk	at the same time
teleurgesteld	disappointed
telkens	each time
tellen	to count
terecht	fair, justly, deserved
tijd doorbrengen	to spend time
toch	yet (2)
treffen	to hit, to strike
trots	proud
trouw	faithful
trouwen	to marry
tweemaal	twice
twijfelen	to doubt
twintig voor vijf	twenty to five
uit eten gaan	to go out for dinner
uit je hoofd leren	to learn by heart
uitgeven	to spend
uitstappen	to get off
van twee uur tot vijf uur	from two till five o’clock
van wie	whose
vandaar	hence
vasthouden	to hold (in hand)
veertien	fourteen
verantwoordelijk	responsible
verdienen	to earn
verdrietig	sad
verlaten	to leave (+smth, e.g. trein) without intent to return
verlopen	to expire (2)
verplichten	to oblige
verrassen	to surprise
verschillend	different (adj.)
vertrouwen	to trust
verveeld	bored
vervelen	to annoy
verwachten	to expect
verwarmen	to warm
verwijzen	to refer
verzamelen	to collect
verzinnen	to make up
vijf over half vier	twenty five to four
vijf voor acht	five to eight
vijftiende	fifteenth
volledig	fully, complete
voor	before, in front of
voorkomen	to prevent
voorlopig	provisional
voorstellen	to propose
voorzien	to provide
vrezen	to fear
vriendelijk	friendly
vrije tijd	leisure time
vrolijk	cheerful
waarbij	in which
waardoor	whereby, as a result of which
waarschijnlijk	probable
waarvoor	what for
wachten	to wait
wanneer	when
wat	some / somewhat
Wat voor weer wordt het?	What will be the weather?
weg	gone, away (adv.)
welkom	welcome
wellicht	perhaps, maybe (2)
wennen	to get used to
werkloos	unemployed
zacht	soft
zeer	painful
zelfs	even
zelfstandig	independent
zich afvragen	to wonder
zich ontspannen	to relax
zich ziek melden	to report oneself ill
zo	like this
zo meteen	very soon
zomaar	simply, easily (adv.)
zonnen	to sunbathe
zorgen	to care
zouden	would
zuur	acid
