aan de linkerkant	on the left side
laten zien	to show
later	later (2)
leeg	empty
leerzaam	educational
leiden	to lead
lekker	nice, delicious
leren kennen	to get to know, to meet
leveren	to supply
liever ... dan ...	rather ... than ...
lijden	to suffer
los	loose (adj.)
lukken	to succeed (2)
maandag	Monday
maar	only (+countable)
mee	with, along (adv.)
menen	to believe, to think
mengen	to blend, to mix
meteen	immediately
mis	wrong (3)
misschien	perhaps
mooi	handsome / beautiful / nice / good
na	after
naar	to
naast	next to
nadat	after (2)
nauwelijks	hardly
net	just (a moment ago, только что)
nieuwsgierig	curious
noemen	to name, to call smth
normaal	normal, usual
officieel	official
omdraaien	to turn (2)
ondanks	despite
ondergronds	underground
onderzoeken	to investigate
onduidelijk	unclear
ongeveer	about (2)
ontslaan	to fire
ontspannen	relaxed
ontvangen	to receive
ontwikkelen	to develop
ooit	ever
ook	as well / too / also
openstaand	open, available (adj.)
opnieuw	again (1)
opschrijven	write down
opstellen	to draw up
optreden	to appear (2)
opvallen	to strike, to catch the eye
opzetten	to set up
opzoeken	to look up
ouderwets	old-fashioned
Oudjaar	New year’s eve
overal	everywhere
overig	other (2)
overlijden	to die
overtuigen	to convince
overwegen	to consider
parkeren	to park
pas	only/just (a small while ago)
passend	suitable
perfect	perfect
plaatsen	to place (2)
plat	flat
poetsen	to polish, clean
prachtig	wonderful (2)
prima	wonderful
raken	to touch, to hit
realiseren	to realize
redelijk	quite
reeds	already (formal)
regelen	to regulate, to arrange
romantisch	romantic
ruim	spacious
rustig	calm(ly)
schillen	to peel
schoonmaken	to clean
serveren	to serve
slaan	to hit
slagen	to succeed (1)
slecht	bad
snel	soon
sporten	to excersise sport
springen	to jump
steken	a) to stab b) to put (6, in general, used in Be)
stellen	to put (5, currently used very rare)
sterven	to expire
stevig	firm, solid
stil	quiet
stoppen	to put smth in pocket, wallet (4)
straks	later
strijken	to iron
tegenwoordig	nowadays
tenslotte	at last
tevreden	satisfied
toe	towards
toen	then (about the past)
toevallig	accidental
tot morgen	see you tomorrow
tot snel	see you soon
trouwens	moreover, besides, by the way
Turkije	Turkey
tweedehands	second-hand
twintigste	twentieth
uit	from (1)
uitdoen	to turn off
uiteindelijk	final (adj.)
uiteraard	of course, naturally (2)
uittrekken	to take off smth with (un)pulling motion (pants, socks)
vanwege	because of
verdelen	to divide
verdwijnen	to disappear
vergissen	to be mistaken
verhitten	to heat
verkeerd	wrong, incorrect
verklaren	to explain (2)
verlegen	shy
verliefd worden	to fall in love
verliezen	to lose
verloofd	engaged
vers	fresh
verschijnen	to appear
verschrikkelijk	terrible
vertrekken	to leave (expected to be back)
vervelend	annoying
vervolgens	afterwards (2)
vijf voor half zeven	twenty five past six
voeren	to carry out
voldoende	sufficient
volgens	according to
volleyballen	to play volleyball
voor wie	for whom
vooral	especially
voorbereiden	to prepare
voorbij	past
vroeg	early
waaien	to blow
waard	worth
wandelen	to go for a walk
wel	good, well
werken	to work
wijzen	to point
wild	wild
wintervakantie	winter holidays
wonen	to live
zelfde	same
zich bevinden	to be located
